Start_point, End_point, Cell, Delay
instr[4], riscv/dp/_18921_, OA21x2_ASAP7_75t_R,  20.73
instr[4], riscv/dp/_18921_, OR2x2_ASAP7_75t_R,  16.44
instr[4], riscv/dp/_18921_, AO21x1_ASAP7_75t_R,  14.49
instr[4], riscv/dp/_18921_, NAND2x1_ASAP7_75t_R,  10.66
instr[4], riscv/dp/_18921_, FAx1_ASAP7_75t_R,  26.94
instr[4], riscv/dp/_18921_, XNOR2x1_ASAP7_75t_R,  12.94
instr[4], riscv/dp/_18921_, OAI22x1_ASAP7_75t_R,  11.98
instr[4], riscv/dp/_18921_, AO221x1_ASAP7_75t_R,  22.29
instr[4], riscv/dp/_18921_, AO22x1_ASAP7_75t_R,  21.66
instr[4], riscv/dp/_18921_, AO31x2_ASAP7_75t_R,  78.49
instr[4], riscv/dp/_18921_, NOR3x2_ASAP7_75t_R, 170.10
instr[4], riscv/dp/_18921_, AO22x1_ASAP7_75t_R,  91.36
instr[4], riscv/dp/_18921_, AO21x2_ASAP7_75t_R,  23.62
instr[4], riscv/dp/_18921_, AND3x4_ASAP7_75t_R,  28.65
instr[4], riscv/dp/_18921_, OA33x2_ASAP7_75t_R,  31.60
instr[4], riscv/dp/_18921_, OA21x2_ASAP7_75t_R,  33.55
instr[4], riscv/dp/_18921_, AND3x1_ASAP7_75t_R,  32.21
instr[4], riscv/dp/_18921_, AO21x1_ASAP7_75t_R,  15.88
instr[4], riscv/dp/_18921_, DFFLQNx2_ASAP7_75t_R,   0.00
,,,
instr[4], riscv/dp/_19153_, BUFx2_ASAP7_75t_R,10.86 
instr[4], riscv/dp/_19153_, AO22x2_ASAP7_75t_R,  33.06 
instr[4], riscv/dp/_19153_, INVx1_ASAP7_75t_R,20.42 
instr[4], riscv/dp/_19153_, OR5x2_ASAP7_75t_R,  77.35 
instr[4], riscv/dp/_19153_, AND2x2_ASAP7_75t_R, 131.74 
instr[4], riscv/dp/_19153_, BUFx16f_ASAP7_75t_R,23.84 
instr[4], riscv/dp/_19153_, BUFx16f_ASAP7_75t_R,29.73 
instr[4], riscv/dp/_19153_, BUFx16f_ASAP7_75t_R,72.47 
instr[4], riscv/dp/_19153_, AO221x1_ASAP7_75t_R,  37.62 
instr[4], riscv/dp/_19153_, OA211x2_ASAP7_75t_R,  27.61 
instr[4], riscv/dp/_19153_, AO221x2_ASAP7_75t_R,  35.54 
instr[4], riscv/dp/_19153_, NAND2x2_ASAP7_75t_R,  25.24 
instr[4], riscv/dp/_19153_, HAxp5_ASAP7_75t_R,  61.82 
instr[4], riscv/dp/_19153_, OR2x2_ASAP7_75t_R,  27.60 
instr[4], riscv/dp/_19153_, AO21x1_ASAP7_75t_R,  13.28 
instr[4], riscv/dp/_19153_, AO21x1_ASAP7_75t_R,  12.93 
instr[4], riscv/dp/_19153_, OA211x2_ASAP7_75t_R,  18.95 
