Startpoint,Endpoint,Slack
 instr[4] (input port clocked by clk), riscv/dp/_19732_ (falling edge-triggered flip-flop clocked by clk'),44.17
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18868_ (falling edge-triggered flip-flop clocked by clk'),-52.82
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18865_ (falling edge-triggered flip-flop clocked by clk'),-54.83
 instr[4] (input port clocked by clk), riscv/dp/_18877_ (falling edge-triggered flip-flop clocked by clk'),46.41
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19188_ (falling edge-triggered flip-flop clocked by clk'),-47.72
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19412_ (falling edge-triggered flip-flop clocked by clk'),-47.52
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18900_ (falling edge-triggered flip-flop clocked by clk'),-47.27
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19121_ (falling edge-triggered flip-flop clocked by clk'),-47.67
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19284_ (falling edge-triggered flip-flop clocked by clk'),-47.51
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18929_ (falling edge-triggered flip-flop clocked by clk'),-48.92
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19153_ (falling edge-triggered flip-flop clocked by clk'),-56.56
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19281_ (falling edge-triggered flip-flop clocked by clk'),-49.03
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19697_ (falling edge-triggered flip-flop clocked by clk'),-48.81
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19156_ (falling edge-triggered flip-flop clocked by clk'),-47.94
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19249_ (falling edge-triggered flip-flop clocked by clk'),-49.29
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18961_ (falling edge-triggered flip-flop clocked by clk'),-49.09
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19348_ (falling edge-triggered flip-flop clocked by clk'),-48.15
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19409_ (falling edge-triggered flip-flop clocked by clk'),-48.67
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19572_ (falling edge-triggered flip-flop clocked by clk'),-47.98
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18932_ (falling edge-triggered flip-flop clocked by clk'),-47.39
 instr[4] (input port clocked by clk), riscv/dp/_18877_ (falling edge-triggered flip-flop clocked by clk'),46.41
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19540_ (falling edge-triggered flip-flop clocked by clk'),-48.43
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19540_ (falling edge-triggered flip-flop clocked by clk'),-48.43
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19700_ (falling edge-triggered flip-flop clocked by clk'),-47.92
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19604_ (falling edge-triggered flip-flop clocked by clk'),-48.33
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18964_ (falling edge-triggered flip-flop clocked by clk'),-48.30
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18897_ (falling edge-triggered flip-flop clocked by clk'),-49.11
 instr[4] (input port clocked by clk), riscv/dp/_19732_ (falling edge-triggered flip-flop clocked by clk'),44.17
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19185_ (falling edge-triggered flip-flop clocked by clk'),-49.15
 instr[4] (input port clocked by clk), riscv/dp/_19197_ (falling edge-triggered flip-flop clocked by clk'),51.05
 instr[4] (input port clocked by clk), riscv/dp/_18909_ (falling edge-triggered flip-flop clocked by clk'),50.64
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19668_ (falling edge-triggered flip-flop clocked by clk'),-48.28
 instr[4] (input port clocked by clk), riscv/dp/_19421_ (falling edge-triggered flip-flop clocked by clk'),51.00
 instr[4] (input port clocked by clk), riscv/dp/_19861_ (falling edge-triggered flip-flop clocked by clk'),89.84
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19124_ (falling edge-triggered flip-flop clocked by clk'),-47.08
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19252_ (falling edge-triggered flip-flop clocked by clk'),-46.93
 instr[4] (input port clocked by clk), riscv/dp/_19293_ (falling edge-triggered flip-flop clocked by clk'),51.18
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19569_ (falling edge-triggered flip-flop clocked by clk'),-48.66
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19345_ (falling edge-triggered flip-flop clocked by clk'),-48.76
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19665_ (falling edge-triggered flip-flop clocked by clk'),-48.92
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19537_ (falling edge-triggered flip-flop clocked by clk'),-47.75
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19601_ (falling edge-triggered flip-flop clocked by clk'),-47.68
 instr[4] (input port clocked by clk), riscv/dp/_18941_ (falling edge-triggered flip-flop clocked by clk'),52.44
 instr[4] (input port clocked by clk), riscv/dp/_19549_ (falling edge-triggered flip-flop clocked by clk'),50.66
 instr[4] (input port clocked by clk), riscv/dp/_19581_ (falling edge-triggered flip-flop clocked by clk'),51.33
 instr[4] (input port clocked by clk), riscv/dp/_19613_ (falling edge-triggered flip-flop clocked by clk'),51.41
 instr[4] (input port clocked by clk), riscv/dp/_18973_ (falling edge-triggered flip-flop clocked by clk'),51.54
 instr[4] (input port clocked by clk), riscv/dp/_19357_ (falling edge-triggered flip-flop clocked by clk'),52.37
 instr[4] (input port clocked by clk), riscv/dp/_19165_ (falling edge-triggered flip-flop clocked by clk'),50.61
 instr[4] (input port clocked by clk), riscv/dp/_19613_ (falling edge-triggered flip-flop clocked by clk'),51.41
 instr[4] (input port clocked by clk), riscv/dp/_19709_ (falling edge-triggered flip-flop clocked by clk'),51.54
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19761_ (falling edge-triggered flip-flop clocked by clk'),-48.64
 instr[4] (input port clocked by clk), riscv/dp/_19133_ (falling edge-triggered flip-flop clocked by clk'),50.84
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19825_ (falling edge-triggered flip-flop clocked by clk'),-48.35
