Startpoint,Endpoint,Slack
 instr[4] (input port clocked by clk), riscv/dp/_19862_ (falling edge-triggered flip-flop clocked by clk'),66.28
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19325_ (falling edge-triggered flip-flop clocked by clk'),-27.99
 instr[4] (input port clocked by clk), riscv/dp/_19030_ (falling edge-triggered flip-flop clocked by clk'),66.35
 instr[4] (input port clocked by clk), riscv/dp/_19516_ (falling edge-triggered flip-flop clocked by clk'),65.86
 instr[4] (input port clocked by clk), riscv/dp/_19388_ (falling edge-triggered flip-flop clocked by clk'),65.37
 instr[4] (input port clocked by clk), riscv/dp/_19452_ (falling edge-triggered flip-flop clocked by clk'),65.76
 instr[4] (input port clocked by clk), riscv/dp/_19484_ (falling edge-triggered flip-flop clocked by clk'),64.35
 instr[4] (input port clocked by clk), riscv/dp/_19772_ (falling edge-triggered flip-flop clocked by clk'),65.42
 instr[4] (input port clocked by clk), riscv/dp/_19740_ (falling edge-triggered flip-flop clocked by clk'),65.23
 instr[4] (input port clocked by clk), riscv/dp/_18876_ (falling edge-triggered flip-flop clocked by clk'),65.10
 instr[4] (input port clocked by clk), riscv/dp/_19062_ (falling edge-triggered flip-flop clocked by clk'),67.53
 instr[4] (input port clocked by clk), riscv/dp/_18860_ (falling edge-triggered flip-flop clocked by clk'),64.26
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19837_ (falling edge-triggered flip-flop clocked by clk'),-26.75
 instr[4] (input port clocked by clk), riscv/dp/_19642_ (falling edge-triggered flip-flop clocked by clk'),65.24
 instr[4] (input port clocked by clk), riscv/dp/_18859_ (falling edge-triggered flip-flop clocked by clk'),70.91
 instr[4] (input port clocked by clk), riscv/dp/_19382_ (falling edge-triggered flip-flop clocked by clk'),67.47
 instr[4] (input port clocked by clk), riscv/dp/_19254_ (falling edge-triggered flip-flop clocked by clk'),65.48
 instr[4] (input port clocked by clk), riscv/dp/_19414_ (falling edge-triggered flip-flop clocked by clk'),65.64
 instr[4] (input port clocked by clk), riscv/dp/_19002_ (falling edge-triggered flip-flop clocked by clk'),65.64
 instr[4] (input port clocked by clk), riscv/dp/_19702_ (falling edge-triggered flip-flop clocked by clk'),65.26
 instr[4] (input port clocked by clk), riscv/dp/_19670_ (falling edge-triggered flip-flop clocked by clk'),65.07
 instr[4] (input port clocked by clk), riscv/dp/_19098_ (falling edge-triggered flip-flop clocked by clk'),64.43
 instr[4] (input port clocked by clk), riscv/dp/_18894_ (falling edge-triggered flip-flop clocked by clk'),66.90
 instr[4] (input port clocked by clk), riscv/dp/_18902_ (falling edge-triggered flip-flop clocked by clk'),65.05
 instr[4] (input port clocked by clk), riscv/dp/_19158_ (falling edge-triggered flip-flop clocked by clk'),65.61
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19375_ (falling edge-triggered flip-flop clocked by clk'),-32.16
 instr[4] (input port clocked by clk), riscv/dp/_19834_ (falling edge-triggered flip-flop clocked by clk'),65.83
 instr[4] (input port clocked by clk), riscv/dp/_19286_ (falling edge-triggered flip-flop clocked by clk'),65.50
 instr[4] (input port clocked by clk), riscv/dp/_19126_ (falling edge-triggered flip-flop clocked by clk'),65.55
 instr[4] (input port clocked by clk), riscv/dp/_19574_ (falling edge-triggered flip-flop clocked by clk'),65.06
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19215_ (falling edge-triggered flip-flop clocked by clk'),-31.61
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19631_ (falling edge-triggered flip-flop clocked by clk'),-30.49
 instr[4] (input port clocked by clk), riscv/dp/_19226_ (falling edge-triggered flip-flop clocked by clk'),64.73
 instr[4] (input port clocked by clk), riscv/dp/_19190_ (falling edge-triggered flip-flop clocked by clk'),65.09
 instr[4] (input port clocked by clk), riscv/dp/_18966_ (falling edge-triggered flip-flop clocked by clk'),66.45
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19087_ (falling edge-triggered flip-flop clocked by clk'),-31.53
 instr[4] (input port clocked by clk), riscv/dp/_19478_ (falling edge-triggered flip-flop clocked by clk'),67.93
 instr[4] (input port clocked by clk), riscv/dp/_18934_ (falling edge-triggered flip-flop clocked by clk'),65.79
 instr[4] (input port clocked by clk), riscv/dp/_19770_ (falling edge-triggered flip-flop clocked by clk'),64.90
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19439_ (falling edge-triggered flip-flop clocked by clk'),-32.00
 instr[4] (input port clocked by clk), riscv/dp/_19836_ (falling edge-triggered flip-flop clocked by clk'),66.34
 instr[4] (input port clocked by clk), riscv/dp/_19322_ (falling edge-triggered flip-flop clocked by clk'),64.96
 instr[4] (input port clocked by clk), riscv/dp/_19738_ (falling edge-triggered flip-flop clocked by clk'),64.76
 instr[4] (input port clocked by clk), riscv/dp/_19406_ (falling edge-triggered flip-flop clocked by clk'),66.55
 instr[4] (input port clocked by clk), riscv/dp/_19450_ (falling edge-triggered flip-flop clocked by clk'),65.96
 instr[4] (input port clocked by clk), riscv/dp/_19386_ (falling edge-triggered flip-flop clocked by clk'),65.94
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19823_ (falling edge-triggered flip-flop clocked by clk'),-31.13
 instr[4] (input port clocked by clk), riscv/dp/_19662_ (falling edge-triggered flip-flop clocked by clk'),67.18
 instr[4] (input port clocked by clk), riscv/dp/_18923_ (falling edge-triggered flip-flop clocked by clk'),59.72
 instr[4] (input port clocked by clk), riscv/dp/_18955_ (falling edge-triggered flip-flop clocked by clk'),73.74
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19311_ (falling edge-triggered flip-flop clocked by clk'),-31.34
 instr[4] (input port clocked by clk), riscv/dp/_19510_ (falling edge-triggered flip-flop clocked by clk'),66.84
 instr[4] (input port clocked by clk), riscv/dp/_18998_ (falling edge-triggered flip-flop clocked by clk'),65.61
 instr[4] (input port clocked by clk), riscv/dp/_19514_ (falling edge-triggered flip-flop clocked by clk'),67.06
 instr[4] (input port clocked by clk), riscv/dp/_19542_ (falling edge-triggered flip-flop clocked by clk'),65.72
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19759_ (falling edge-triggered flip-flop clocked by clk'),-30.96
 instr[4] (input port clocked by clk), riscv/dp/_18958_ (falling edge-triggered flip-flop clocked by clk'),67.06
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19471_ (falling edge-triggered flip-flop clocked by clk'),-31.64
 instr[4] (input port clocked by clk), riscv/dp/_19606_ (falling edge-triggered flip-flop clocked by clk'),66.10
 instr[4] (input port clocked by clk), riscv/dp/_19350_ (falling edge-triggered flip-flop clocked by clk'),66.37
 instr[4] (input port clocked by clk), riscv/dp/_19694_ (falling edge-triggered flip-flop clocked by clk'),67.26
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19855_ (falling edge-triggered flip-flop clocked by clk'),-30.69
 instr[4] (input port clocked by clk), riscv/dp/_19066_ (falling edge-triggered flip-flop clocked by clk'),66.29
 instr[4] (input port clocked by clk), riscv/dp/_19482_ (falling edge-triggered flip-flop clocked by clk'),66.26
 instr[4] (input port clocked by clk), riscv/dp/_19446_ (falling edge-triggered flip-flop clocked by clk'),67.20
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19503_ (falling edge-triggered flip-flop clocked by clk'),-31.29
 instr[4] (input port clocked by clk), riscv/dp/_19862_ (falling edge-triggered flip-flop clocked by clk'),66.28
 instr[4] (input port clocked by clk), riscv/dp/_19182_ (falling edge-triggered flip-flop clocked by clk'),67.78
 instr[4] (input port clocked by clk), riscv/dp/_19034_ (falling edge-triggered flip-flop clocked by clk'),65.56
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19272_ (falling edge-triggered flip-flop clocked by clk'),28.57
 instr[4] (input port clocked by clk), riscv/dp/_19278_ (falling edge-triggered flip-flop clocked by clk'),66.92
 instr[4] (input port clocked by clk), riscv/dp/_19866_ (falling edge-triggered flip-flop clocked by clk'),65.55
 instr[4] (input port clocked by clk), riscv/dp/_19403_ (falling edge-triggered flip-flop clocked by clk'),74.14
 instr[4] (input port clocked by clk), riscv/dp/_18891_ (falling edge-triggered flip-flop clocked by clk'),74.33
 instr[4] (input port clocked by clk), riscv/dp/_19324_ (falling edge-triggered flip-flop clocked by clk'),67.12
 instr[4] (input port clocked by clk), riscv/dp/_19691_ (falling edge-triggered flip-flop clocked by clk'),74.49
 instr[4] (input port clocked by clk), riscv/dp/_19030_ (falling edge-triggered flip-flop clocked by clk'),66.35
 instr[4] (input port clocked by clk), riscv/dp/_19243_ (falling edge-triggered flip-flop clocked by clk'),74.28
 instr[4] (input port clocked by clk), riscv/dp/_19659_ (falling edge-triggered flip-flop clocked by clk'),74.28
 instr[4] (input port clocked by clk), riscv/dp/_19516_ (falling edge-triggered flip-flop clocked by clk'),65.86
 instr[4] (input port clocked by clk), riscv/dp/_19388_ (falling edge-triggered flip-flop clocked by clk'),65.37
 instr[4] (input port clocked by clk), riscv/dp/_18870_ (falling edge-triggered flip-flop clocked by clk'),68.93
 instr[4] (input port clocked by clk), riscv/dp/_19452_ (falling edge-triggered flip-flop clocked by clk'),65.76
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19774_ (falling edge-triggered flip-flop clocked by clk'),-28.31
 instr[4] (input port clocked by clk), riscv/dp/_19147_ (falling edge-triggered flip-flop clocked by clk'),75.15
 instr[4] (input port clocked by clk), riscv/dp/_19772_ (falling edge-triggered flip-flop clocked by clk'),65.42
 instr[4] (input port clocked by clk), riscv/dp/_19740_ (falling edge-triggered flip-flop clocked by clk'),65.23
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19055_ (falling edge-triggered flip-flop clocked by clk'),-29.60
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18991_ (falling edge-triggered flip-flop clocked by clk'),-33.06
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19838_ (falling edge-triggered flip-flop clocked by clk'),-28.36
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19326_ (falling edge-triggered flip-flop clocked by clk'),-32.19
 instr[4] (input port clocked by clk), riscv/dp/_19275_ (falling edge-triggered flip-flop clocked by clk'),74.94
 instr[4] (input port clocked by clk), riscv/dp/_19179_ (falling edge-triggered flip-flop clocked by clk'),74.64
 instr[4] (input port clocked by clk), riscv/dp/_19062_ (falling edge-triggered flip-flop clocked by clk'),67.53
 instr[4] (input port clocked by clk), riscv/dp/_19566_ (falling edge-triggered flip-flop clocked by clk'),69.38
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19023_ (falling edge-triggered flip-flop clocked by clk'),-30.20
 instr[4] (input port clocked by clk), riscv/dp/_18860_ (falling edge-triggered flip-flop clocked by clk'),64.26
 instr[4] (input port clocked by clk), riscv/dp/_19642_ (falling edge-triggered flip-flop clocked by clk'),65.24
 instr[4] (input port clocked by clk), riscv/dp/_19382_ (falling edge-triggered flip-flop clocked by clk'),67.47
 instr[4] (input port clocked by clk), riscv/dp/_19002_ (falling edge-triggered flip-flop clocked by clk'),65.64
 instr[4] (input port clocked by clk), riscv/dp/_18867_ (falling edge-triggered flip-flop clocked by clk'),74.39
 instr[4] (input port clocked by clk), riscv/dp/_18926_ (falling edge-triggered flip-flop clocked by clk'),69.10
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19742_ (falling edge-triggered flip-flop clocked by clk'),-27.90
 instr[4] (input port clocked by clk), riscv/dp/_19150_ (falling edge-triggered flip-flop clocked by clk'),68.34
 instr[4] (input port clocked by clk), riscv/dp/_19098_ (falling edge-triggered flip-flop clocked by clk'),64.43
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18863_ (falling edge-triggered flip-flop clocked by clk'),-30.62
 instr[4] (input port clocked by clk), riscv/dp/_19534_ (falling edge-triggered flip-flop clocked by clk'),67.75
 instr[4] (input port clocked by clk), riscv/dp/_18894_ (falling edge-triggered flip-flop clocked by clk'),66.90
 instr[4] (input port clocked by clk), riscv/dp/_19531_ (falling edge-triggered flip-flop clocked by clk'),75.40
 instr[4] (input port clocked by clk), riscv/dp/_19118_ (falling edge-triggered flip-flop clocked by clk'),68.68
 instr[4] (input port clocked by clk), riscv/dp/_19246_ (falling edge-triggered flip-flop clocked by clk'),68.30
 instr[4] (input port clocked by clk), riscv/dp/_19834_ (falling edge-triggered flip-flop clocked by clk'),65.83
 instr[4] (input port clocked by clk), riscv/dp/_19598_ (falling edge-triggered flip-flop clocked by clk'),69.01
 instr[4] (input port clocked by clk), riscv/dp/_19115_ (falling edge-triggered flip-flop clocked by clk'),75.76
 instr[4] (input port clocked by clk), riscv/dp/_19339_ (falling edge-triggered flip-flop clocked by clk'),76.70
 instr[4] (input port clocked by clk), riscv/dp/_19595_ (falling edge-triggered flip-flop clocked by clk'),76.07
 instr[4] (input port clocked by clk), riscv/dp/_19226_ (falling edge-triggered flip-flop clocked by clk'),64.73
 instr[4] (input port clocked by clk), riscv/dp/_19478_ (falling edge-triggered flip-flop clocked by clk'),67.93
 instr[4] (input port clocked by clk), riscv/dp/_19342_ (falling edge-triggered flip-flop clocked by clk'),67.27
 instr[4] (input port clocked by clk), riscv/dp/_19563_ (falling edge-triggered flip-flop clocked by clk'),77.44
 instr[4] (input port clocked by clk), riscv/dp/_19770_ (falling edge-triggered flip-flop clocked by clk'),64.90
 instr[4] (input port clocked by clk), riscv/dp/_19836_ (falling edge-triggered flip-flop clocked by clk'),66.34
 instr[4] (input port clocked by clk), riscv/dp/_19322_ (falling edge-triggered flip-flop clocked by clk'),64.96
 instr[4] (input port clocked by clk), riscv/dp/_19738_ (falling edge-triggered flip-flop clocked by clk'),64.76
 instr[4] (input port clocked by clk), riscv/dp/_19406_ (falling edge-triggered flip-flop clocked by clk'),66.55
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19390_ (falling edge-triggered flip-flop clocked by clk'),-31.58
 instr[4] (input port clocked by clk), riscv/dp/_19450_ (falling edge-triggered flip-flop clocked by clk'),65.96
 instr[4] (input port clocked by clk), riscv/dp/_19386_ (falling edge-triggered flip-flop clocked by clk'),65.94
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19518_ (falling edge-triggered flip-flop clocked by clk'),-30.95
 instr[4] (input port clocked by clk), riscv/dp/_19662_ (falling edge-triggered flip-flop clocked by clk'),67.18
 instr[4] (input port clocked by clk), riscv/dp/_18923_ (falling edge-triggered flip-flop clocked by clk'),59.72
 instr[4] (input port clocked by clk), riscv/dp/_18955_ (falling edge-triggered flip-flop clocked by clk'),73.74
 instr[4] (input port clocked by clk), riscv/dp/_19510_ (falling edge-triggered flip-flop clocked by clk'),66.84
 instr[4] (input port clocked by clk), riscv/dp/_19514_ (falling edge-triggered flip-flop clocked by clk'),67.06
 instr[4] (input port clocked by clk), riscv/dp/_18958_ (falling edge-triggered flip-flop clocked by clk'),67.06
 instr[4] (input port clocked by clk), riscv/dp/_19694_ (falling edge-triggered flip-flop clocked by clk'),67.26
 instr[4] (input port clocked by clk), riscv/dp/_19066_ (falling edge-triggered flip-flop clocked by clk'),66.29
 instr[4] (input port clocked by clk), riscv/dp/_19482_ (falling edge-triggered flip-flop clocked by clk'),66.26
 instr[4] (input port clocked by clk), riscv/dp/_19446_ (falling edge-triggered flip-flop clocked by clk'),67.20
 instr[4] (input port clocked by clk), riscv/dp/_19116_ (falling edge-triggered flip-flop clocked by clk'),68.45
 instr[4] (input port clocked by clk), riscv/dp/_18924_ (falling edge-triggered flip-flop clocked by clk'),68.48
 instr[4] (input port clocked by clk), riscv/dp/_19660_ (falling edge-triggered flip-flop clocked by clk'),75.69
 instr[4] (input port clocked by clk), riscv/dp/_19148_ (falling edge-triggered flip-flop clocked by clk'),69.16
 instr[4] (input port clocked by clk), riscv/dp/_19182_ (falling edge-triggered flip-flop clocked by clk'),67.78
 instr[4] (input port clocked by clk), riscv/dp/_19034_ (falling edge-triggered flip-flop clocked by clk'),65.56
 instr[4] (input port clocked by clk), riscv/dp/_19278_ (falling edge-triggered flip-flop clocked by clk'),66.92
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19486_ (falling edge-triggered flip-flop clocked by clk'),-30.61
 instr[4] (input port clocked by clk), riscv/dp/_19866_ (falling edge-triggered flip-flop clocked by clk'),65.55
 instr[4] (input port clocked by clk), riscv/dp/_19403_ (falling edge-triggered flip-flop clocked by clk'),74.14
 instr[4] (input port clocked by clk), riscv/dp/_18906_ (falling edge-triggered flip-flop clocked by clk'),66.29
 instr[4] (input port clocked by clk), riscv/dp/_19180_ (falling edge-triggered flip-flop clocked by clk'),76.73
 instr[4] (input port clocked by clk), riscv/dp/_19418_ (falling edge-triggered flip-flop clocked by clk'),65.27
 instr[4] (input port clocked by clk), riscv/dp/_18956_ (falling edge-triggered flip-flop clocked by clk'),68.80
 instr[4] (input port clocked by clk), riscv/dp/_19162_ (falling edge-triggered flip-flop clocked by clk'),67.97
 instr[4] (input port clocked by clk), riscv/dp/_18891_ (falling edge-triggered flip-flop clocked by clk'),74.33
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19454_ (falling edge-triggered flip-flop clocked by clk'),-30.79
 instr[4] (input port clocked by clk), riscv/dp/_19244_ (falling edge-triggered flip-flop clocked by clk'),76.47
 instr[4] (input port clocked by clk), riscv/dp/_19354_ (falling edge-triggered flip-flop clocked by clk'),67.06
 instr[4] (input port clocked by clk), riscv/dp/_19324_ (falling edge-triggered flip-flop clocked by clk'),67.12
 instr[4] (input port clocked by clk), riscv/dp/_19691_ (falling edge-triggered flip-flop clocked by clk'),74.49
 instr[4] (input port clocked by clk), riscv/dp/_19243_ (falling edge-triggered flip-flop clocked by clk'),74.28
 instr[4] (input port clocked by clk), riscv/dp/_18892_ (falling edge-triggered flip-flop clocked by clk'),77.12
 instr[4] (input port clocked by clk), riscv/dp/_19706_ (falling edge-triggered flip-flop clocked by clk'),66.25
 instr[4] (input port clocked by clk), riscv/dp/_19659_ (falling edge-triggered flip-flop clocked by clk'),74.28
 instr[4] (input port clocked by clk), riscv/dp/_19404_ (falling edge-triggered flip-flop clocked by clk'),77.07
 instr[4] (input port clocked by clk), riscv/dp/_19532_ (falling edge-triggered flip-flop clocked by clk'),68.48
 instr[4] (input port clocked by clk), riscv/dp/_18970_ (falling edge-triggered flip-flop clocked by clk'),65.96
 instr[4] (input port clocked by clk), riscv/dp/_18870_ (falling edge-triggered flip-flop clocked by clk'),68.93
 instr[4] (input port clocked by clk), riscv/dp/_19276_ (falling edge-triggered flip-flop clocked by clk'),68.60
 instr[4] (input port clocked by clk), riscv/dp/_19610_ (falling edge-triggered flip-flop clocked by clk'),65.65
 instr[4] (input port clocked by clk), riscv/dp/_19578_ (falling edge-triggered flip-flop clocked by clk'),65.99
 instr[4] (input port clocked by clk), riscv/dp/_19766_ (falling edge-triggered flip-flop clocked by clk'),69.72
 instr[4] (input port clocked by clk), riscv/dp/_19564_ (falling edge-triggered flip-flop clocked by clk'),68.49
 instr[4] (input port clocked by clk), riscv/dp/_19147_ (falling edge-triggered flip-flop clocked by clk'),75.15
 instr[4] (input port clocked by clk), riscv/dp/_19194_ (falling edge-triggered flip-flop clocked by clk'),65.96
 instr[4] (input port clocked by clk), riscv/dp/_19275_ (falling edge-triggered flip-flop clocked by clk'),74.94
 instr[4] (input port clocked by clk), riscv/dp/_19546_ (falling edge-triggered flip-flop clocked by clk'),65.83
 instr[4] (input port clocked by clk), riscv/dp/_19179_ (falling edge-triggered flip-flop clocked by clk'),74.64
 instr[4] (input port clocked by clk), riscv/dp/_19566_ (falling edge-triggered flip-flop clocked by clk'),69.38
 instr[4] (input port clocked by clk), riscv/dp/_19734_ (falling edge-triggered flip-flop clocked by clk'),70.40
 instr[4] (input port clocked by clk), riscv/dp/_19692_ (falling edge-triggered flip-flop clocked by clk'),76.67
 instr[4] (input port clocked by clk), riscv/dp/_19340_ (falling edge-triggered flip-flop clocked by clk'),68.77
 instr[4] (input port clocked by clk), riscv/dp/_19596_ (falling edge-triggered flip-flop clocked by clk'),77.06
 instr[4] (input port clocked by clk), riscv/dp/_19674_ (falling edge-triggered flip-flop clocked by clk'),66.28
 instr[4] (input port clocked by clk), riscv/dp/_18994_ (falling edge-triggered flip-flop clocked by clk'),68.90
 instr[4] (input port clocked by clk), riscv/dp/_19258_ (falling edge-triggered flip-flop clocked by clk'),66.14
 instr[4] (input port clocked by clk), riscv/dp/_19290_ (falling edge-triggered flip-flop clocked by clk'),70.80
 instr[4] (input port clocked by clk), riscv/dp/_19858_ (falling edge-triggered flip-flop clocked by clk'),68.41
 instr[4] (input port clocked by clk), riscv/dp/_18938_ (falling edge-triggered flip-flop clocked by clk'),66.31
 instr[4] (input port clocked by clk), riscv/dp/_19026_ (falling edge-triggered flip-flop clocked by clk'),68.57
 instr[4] (input port clocked by clk), riscv/dp/_19314_ (falling edge-triggered flip-flop clocked by clk'),68.98
 instr[4] (input port clocked by clk), riscv/dp/_18867_ (falling edge-triggered flip-flop clocked by clk'),74.39
 instr[4] (input port clocked by clk), riscv/dp/_19762_ (falling edge-triggered flip-flop clocked by clk'),68.25
 instr[4] (input port clocked by clk), riscv/dp/_18862_ (falling edge-triggered flip-flop clocked by clk'),70.53
 instr[4] (input port clocked by clk), riscv/dp/_18926_ (falling edge-triggered flip-flop clocked by clk'),69.10
 instr[4] (input port clocked by clk), riscv/dp/_19058_ (falling edge-triggered flip-flop clocked by clk'),68.58
 instr[4] (input port clocked by clk), riscv/dp/_19826_ (falling edge-triggered flip-flop clocked by clk'),68.28
 instr[4] (input port clocked by clk), riscv/dp/_19218_ (falling edge-triggered flip-flop clocked by clk'),68.89
 instr[4] (input port clocked by clk), riscv/dp/_19130_ (falling edge-triggered flip-flop clocked by clk'),71.06
 instr[4] (input port clocked by clk), riscv/dp/_19150_ (falling edge-triggered flip-flop clocked by clk'),68.34
 instr[4] (input port clocked by clk), riscv/dp/_19534_ (falling edge-triggered flip-flop clocked by clk'),67.75
 instr[4] (input port clocked by clk), riscv/dp/_19531_ (falling edge-triggered flip-flop clocked by clk'),75.40
 instr[4] (input port clocked by clk), riscv/dp/_19634_ (falling edge-triggered flip-flop clocked by clk'),68.61
 instr[4] (input port clocked by clk), riscv/dp/_19118_ (falling edge-triggered flip-flop clocked by clk'),68.68
 instr[4] (input port clocked by clk), riscv/dp/_19246_ (falling edge-triggered flip-flop clocked by clk'),68.30
 instr[4] (input port clocked by clk), riscv/dp/_19598_ (falling edge-triggered flip-flop clocked by clk'),69.01
 instr[4] (input port clocked by clk), riscv/dp/_19115_ (falling edge-triggered flip-flop clocked by clk'),75.76
 instr[4] (input port clocked by clk), riscv/dp/_19730_ (falling edge-triggered flip-flop clocked by clk'),68.73
 instr[4] (input port clocked by clk), riscv/dp/_19337_ (falling edge-triggered flip-flop clocked by clk'),107.80
 instr[4] (input port clocked by clk), riscv/dp/_19595_ (falling edge-triggered flip-flop clocked by clk'),76.07
 instr[4] (input port clocked by clk), riscv/dp/_19342_ (falling edge-triggered flip-flop clocked by clk'),67.27
 instr[4] (input port clocked by clk), riscv/dp/_19563_ (falling edge-triggered flip-flop clocked by clk'),77.44
 instr[4] (input port clocked by clk), riscv/dp/_19830_ (falling edge-triggered flip-flop clocked by clk'),71.30
 instr[4] (input port clocked by clk), riscv/dp/_19570_ (falling edge-triggered flip-flop clocked by clk'),68.82
 instr[4] (input port clocked by clk), riscv/dp/_19346_ (falling edge-triggered flip-flop clocked by clk'),68.41
 instr[4] (input port clocked by clk), riscv/dp/_19602_ (falling edge-triggered flip-flop clocked by clk'),69.34
 instr[4] (input port clocked by clk), riscv/dp/_19538_ (falling edge-triggered flip-flop clocked by clk'),68.48
 instr[4] (input port clocked by clk), riscv/dp/_19116_ (falling edge-triggered flip-flop clocked by clk'),68.45
 instr[4] (input port clocked by clk), riscv/dp/_18924_ (falling edge-triggered flip-flop clocked by clk'),68.48
 instr[4] (input port clocked by clk), riscv/dp/_19660_ (falling edge-triggered flip-flop clocked by clk'),75.69
 instr[4] (input port clocked by clk), riscv/dp/_19090_ (falling edge-triggered flip-flop clocked by clk'),69.02
 instr[4] (input port clocked by clk), riscv/dp/_19148_ (falling edge-triggered flip-flop clocked by clk'),69.16
 instr[4] (input port clocked by clk), riscv/dp/_19506_ (falling edge-triggered flip-flop clocked by clk'),68.35
 instr[4] (input port clocked by clk), riscv/dp/_18962_ (falling edge-triggered flip-flop clocked by clk'),69.38
 instr[4] (input port clocked by clk), riscv/dp/_18906_ (falling edge-triggered flip-flop clocked by clk'),66.29
 instr[4] (input port clocked by clk), riscv/dp/_19180_ (falling edge-triggered flip-flop clocked by clk'),76.73
 instr[4] (input port clocked by clk), riscv/dp/_19442_ (falling edge-triggered flip-flop clocked by clk'),68.29
 instr[4] (input port clocked by clk), riscv/dp/_19474_ (falling edge-triggered flip-flop clocked by clk'),68.10
 instr[4] (input port clocked by clk), riscv/dp/_19378_ (falling edge-triggered flip-flop clocked by clk'),68.86
 instr[4] (input port clocked by clk), riscv/dp/_19418_ (falling edge-triggered flip-flop clocked by clk'),65.27
 instr[4] (input port clocked by clk), riscv/dp/_18956_ (falling edge-triggered flip-flop clocked by clk'),68.80
 instr[4] (input port clocked by clk), riscv/dp/_19162_ (falling edge-triggered flip-flop clocked by clk'),67.97
 instr[4] (input port clocked by clk), riscv/dp/_19244_ (falling edge-triggered flip-flop clocked by clk'),76.47
 instr[4] (input port clocked by clk), riscv/dp/_19354_ (falling edge-triggered flip-flop clocked by clk'),67.06
 instr[4] (input port clocked by clk), riscv/dp/_18892_ (falling edge-triggered flip-flop clocked by clk'),77.12
 instr[4] (input port clocked by clk), riscv/dp/_19706_ (falling edge-triggered flip-flop clocked by clk'),66.25
 instr[4] (input port clocked by clk), riscv/dp/_19404_ (falling edge-triggered flip-flop clocked by clk'),77.07
 instr[4] (input port clocked by clk), riscv/dp/_19532_ (falling edge-triggered flip-flop clocked by clk'),68.48
 instr[4] (input port clocked by clk), riscv/dp/_18874_ (falling edge-triggered flip-flop clocked by clk'),72.24
 instr[4] (input port clocked by clk), riscv/dp/_18970_ (falling edge-triggered flip-flop clocked by clk'),65.96
 instr[4] (input port clocked by clk), riscv/dp/_19276_ (falling edge-triggered flip-flop clocked by clk'),68.60
 instr[4] (input port clocked by clk), riscv/dp/_19610_ (falling edge-triggered flip-flop clocked by clk'),65.65
 instr[4] (input port clocked by clk), riscv/dp/_19578_ (falling edge-triggered flip-flop clocked by clk'),65.99
 instr[4] (input port clocked by clk), riscv/dp/_19766_ (falling edge-triggered flip-flop clocked by clk'),69.72
 instr[4] (input port clocked by clk), riscv/dp/_19564_ (falling edge-triggered flip-flop clocked by clk'),68.49
 instr[4] (input port clocked by clk), riscv/dp/_19194_ (falling edge-triggered flip-flop clocked by clk'),65.96
 instr[4] (input port clocked by clk), riscv/dp/_18930_ (falling edge-triggered flip-flop clocked by clk'),68.89
 instr[4] (input port clocked by clk), riscv/dp/_19318_ (falling edge-triggered flip-flop clocked by clk'),72.39
 instr[4] (input port clocked by clk), riscv/dp/_19546_ (falling edge-triggered flip-flop clocked by clk'),65.83
